"","data_hora","instituicao","setor_ufpr","atividade_ies","area_conhec","fim_grad","inst_grad","programas_grad","inicio_msc","final_msc","inst_msc","artigos","bolsa","materias_est","materias_n_est","software_sn","software_list","met_est","import_met_est","expectativa_pos_pg","conhec_trans","youtube","contat_coord","contat_colab","ensino_medio1","ensino_medio2","sexo","altura","peso","nascimento","emprego","residencia","irmaos","origem","cnh","transporte","tempo_ies","app_transporte","pet","instrumento","redes_sociais","atv_fisica_reg","atv_fisica_n","atv_fisica_qual","covid_positivo","covid_conhecido","covid_gr_risco_me","covid_gr_risco_outro","covid_vacina","medidas_eficazes","medidas_seguidas","covid_renda","covid_estudos","covid_aprendizado","covid_ere","dificuldade_ere","covid_conclusao","descartada","idade_foto","kiki_bouba","quadrados","idade","indica_foto"
"4","14/03/2021 18:50:55","ufpr","ch - humanas","mestrado academico","ciencias humanas",2020,"outro","iniciacao cientifica; monitoria; projeto de extensao",NA,NA,NA,0,"nao",1,0,"sim","excel ou similares","certamente sim",9,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",159,90,1998-08-08,"trabalho com carteira assinada/vinculo formal","com outros familiares",0,"outro estado","b (carro)","transporte publico",40,10,"nao possuo","nao toco nenhum instrumento","facebook; instagram; linkedin","nao",0,"nenhuma","nao","sim","sim","sim","sim","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","afetou muito","estudei menos que o normal","afetou moderadamente","sim","nao","nao se dizer","",32,"a da esquerda se chama bouba, a da direita se chama kiki.",27,22,"C/ barba"
"5","14/03/2021 18:52:37","ufpr","bl - ciencias biologiccas","mestrado academico","ciencias biologicas",2019,"ufpr","iniciacao cientifica",NA,NA,NA,2,"capes",0,0,"sim","spss; graphpad prism","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",169,74,1998-08-12,"bolsista em tempo integral","com os pais",4,"curitiba","b (carro)","transporte publico",70,2,"nao possuo","nao toco nenhum instrumento","facebook; instagram","sim",6,"musculacao; jiu-jitsu","nao","nao","nao","sim","nao","vacinacao","uso de alcool em gel","afetou pouco","estudei mais que o normal","nao afetou","sim","nao sei dizer","sim","",30,"a da esquerda se chama kiki, a da direita se chama bouba.",32,22,"C/ barba"
"6","14/03/2021 18:54:00","ufpr","et - exatas","doutorado","ciencias exatas",2018,"outro","iniciacao cientifica; projeto de extensao; ciencia sem fronteiras",2019,2020,"outro",2,"capes",2,8,"sim","r; excel ou similares; matlab","nao sei ainda",7,"conseguir um emprego.","outro","sim","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",179,57,1996-03-26,"bolsista em tempo integral","sozinho",2,"outro estado","b (carro)","bicicleta",12,5,"nao possuo","nao toco nenhum instrumento","twitter; instagram; linkedin","nao",0,"nenhuma","nao","sim","nao","nao","nao","uso de mascaras; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); isolamento social","afetou pouco","estudei menos que o normal","afetou moderadamente","sim","sim","sim","",26,"a da esquerda se chama kiki, a da direita se chama bouba.",37,25,"C/ barba"
"7","14/03/2021 19:03:49","ufpr","et - exatas","mestrado academico","ciencias exatas",2014,"outro","iniciacao cientifica; monitoria",2021,NA,"ufpr",0,"nao",1,0,"nao","excel ou similares; matlab","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",176,83,1989-05-26,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge/nucleo familiar proprio",1,"curitiba","b (carro)","carro/moto proprio",30,0,"cachorro","outro","facebook; instagram; linkedin","sim",3,"caminhada; ciclismo","sim","sim","nao","sim","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","afetou moderadamente","estudei mais que o normal","afetou pouco","nao","nao","nao se dizer","",35,"a da esquerda se chama kiki, a da direita se chama bouba.",39,31,"C/ barba"
"8","14/03/2021 19:05:20","uepg",NA,"mestrado academico","ciencias exatas",2017,"outro","projeto de extensao",NA,2022,"uepg",3,"nao",2,0,"nao","excel ou similares","certamente sim",8,"outro","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",154,52,1991-10-14,"outro","com amigos",2,"outro estado","a e b (moto e carro)","transporte publico",15,0,"cachorro","nao toco nenhum instrumento","instagram; linkedin","sim",5,"caminhada; corrida","nao","sim","nao","sim","nao","uso de mascaras; uso de luvas; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de luvas; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","afetou muito","estudei mais que o normal","afetou pouco","sim","nao","sim","",27,"a da esquerda se chama kiki, a da direita se chama bouba.",24,29,"C/ barba"
"9","14/03/2021 19:05:30","ufpr","bl - ciencias biologiccas","mestrado academico","ciencias biologicas",2019,"outro","crf-junior",2021,NA,NA,0,"nao",1,0,"nao","nunca usei","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",177,82,1995-12-06,"trabalho ocasional","com os pais",1,"curitiba","b (carro)","carro/moto proprio",15,3,"passaro","nao toco nenhum instrumento","facebook; instagram; linkedin; outras","sim",4,"corrida; ciclismo; musculacao","nao","sim","nao","nao","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","nao afetou","estudei menos que o normal","afetou moderadamente","sim","sim","sim","",27,"a da esquerda se chama kiki, a da direita se chama bouba.",27,25,"C/ barba"
"10","14/03/2021 19:07:43","nao sou aluno de pos graduacao",NA,"outro","ciencias exatas",2018,"outro","iniciacao cientifica; monitoria; projeto de extensao; empresa junior",NA,NA,NA,0,"nao",2,0,"sim","r; statistica; excel ou similares; matlab","nao sei ainda",10,"conseguir um emprego.","site da ufpr ou instituicao de origem","nao","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",160,60,1993-07-15,"trabalho ocasional","com os pais",0,"curitiba","b (carro)","carro/moto proprio",30,0,"cachorro","nao toco nenhum instrumento","facebook; instagram; linkedin","sim",4,"corrida; ciclismo","nao","sim","nao","sim","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); isolamento social","extinguiu minha renda","estudei menos que o normal","nao afetou","sim","nao sei dizer","nao se dizer","",28,"a da esquerda se chama kiki, a da direita se chama bouba.",40,27,"C/ barba"
"11","14/03/2021 19:08:42","ufpr","ed - educacao","doutorado","ciencias humanas",2005,"outro","nao participei",2018,2020,"ufpr",1,"nao",0,1,"sim","spss","certamente sim",9,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",175,72,1977-09-01,"trabalho com carteira assinada/vinculo formal","sozinho",1,"outro estado","b (carro)","carro/moto proprio",10,0,"gato","nao toco nenhum instrumento","instagram","sim",7,"caminhada","nao","sim","sim","sim","nao","uso de mascaras; uso de luvas; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","uso de mascaras; uso de luvas; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); isolamento social","nao afetou","nao afetou",NA,"sim","sim","nao se dizer","",29,"a da esquerda se chama bouba, a da direita se chama kiki.",35,43,"C/ barba"
"12","14/03/2021 19:09:46","ufpr","sa - sociais aplicadas","mestrado profissional","ciencias humanas",2007,"outro","nao participei",NA,2021,"ufpr",0,"nao",2,8,"sim","spss","nao sei ainda",9,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","nao","nao","totalmente em escola particular","ensino medio profissionalizante (tecnico)","Masculino",179,92,1979-01-26,"trabalho por contrato","sozinho",3,"interior do parana","a e b (moto e carro)","carro/moto proprio",35,4,"nao possuo","nao toco nenhum instrumento","facebook; twitter; google+; instagram; linkedin; outras","sim",4,"caminhada; corrida; ciclismo; musculacao","nao","sim","nao","nao","nao","uso de mascaras; uso de luvas; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais)","afetou moderadamente","estudei menos que o normal","afetou moderadamente","sim","nao","nao","",31,"a da esquerda se chama kiki, a da direita se chama bouba.",26,42,"C/ barba"
"13","14/03/2021 19:10:27","ufpr","sd - saude","mestrado profissional","ciencias humanas",2016,"outro","iniciacao cientifica; monitoria",NA,NA,NA,2,"nao",2,0,"nao","nunca usei","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",164,55,1992-10-26,"trabalho por contrato","sozinho",2,"interior do parana","b (carro)","carro/moto proprio",15,0,"cachorro","nao toco nenhum instrumento","facebook; instagram; linkedin","sim",2,"musculacao","nao","sim","sim","sim","sim","uso de mascaras; uso de luvas; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","afetou moderadamente","estudei menos que o normal","afetou moderadamente","sim","nao","sim","",27,"a da esquerda se chama kiki, a da direita se chama bouba.",33,28,"C/ barba"
