"","ln_instituicao","ln_setorAtuacao","lo_ativAtuacao","ln_setorArea","tc_anoFimGrad","ln_localGrad","ln_progGrad","tc_inicMest","tc_fimMest","ln_localMest","td_artigo","ln_bolsaEstudo","td_estatGrad","td_estatPGrad","lo_soft","ln_enumSoft","lo_importancia","td_notaImport","ln_expectAposPG","ln_conhecTransv","lo_videoTransv","ln_turma","lo_contatoProfDisc","lo_contatoProfColabDisc","ln_medio1","ln_medio2","ln_sexo","tc_altura","tc_peso","dataNasc","ln_tipoTrab","ln_compMoradia","td_numIrmao","ln_origem","ln_tipoHab","ln_tipoTransp","tc_tempoPUniv","td_qtddServTransp","ln_pet","ln_instr","ln_rede","tc_idadeProf","ln_kiki","tc_IMC","tc_idade","id_foto"
"1","ufpr","et - exatas","mestrado academico","ciencias exatas",2019,"ufpr","pet; monitoria",NA,NA,"outro",0,"nao",1,4,"sim","r; sas; excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelos professores que ministram/ministraram disciplinas da transversal","nao","Presencial","sim","sim","totalmente em escola particular","ensino medio tradicional","Masculino",190,90,1996-09-19,"trabalho ocasional","com os pais",4,"curitiba","b (carro)","carro/moto proprio",20,1,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram; Linkedin; Outras",55,"B se chama Bouba e A se chama Kiki.",24.9307479224377,24,1
"2","ufpr","ag - agrarias","doutorado","ciencias biologicas",2008,"outro",NA,2012,2014,"ufpr",2,"nao",1,0,"nao","","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","Presencial","nao","nao","parte em escola publica, parte em particular","ensino medio tradicional","Masculino",183,108,1981-08-10,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",1,"curitiba","b (carro)","carro/moto proprio",20,15,"cachorro","nao toco nenhum instrumento","Instagram; Linkedin",40,"A se chama Bouba e B se chama Kiki.",32.2493953238377,39,1
"3","ufpr","bl - ciencias biologiccas","doutorado","ciencias biologicas",2014,"outro","iniciacao cientifica; monitoria; projeto de extensao",2015,2016,"ufpr",1,"nao",1,0,"sim","r","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","outro","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",160,55,1993-12-01,"trabalho com carteira assinada/vinculo formal","com os pais",0,"outro estado","b (carro)","carro/moto proprio",5,0,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",48,"B se chama Bouba e A se chama Kiki.",21.484375,27,1
"4","unila",NA,"mestrado academico","ciencias exatas",2013,"outro","iniciacao cientifica; projeto de extensao",NA,NA,"outro",1,"nao",1,4,"sim","statistica; excel; origin","certamente sim",9,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Masculino",180,92,1985-07-06,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",2,"interior","a e b (moto e carro)","carro/moto proprio",20,0,"cachorro","nao toco nenhum instrumento","Facebook",45,"B se chama Bouba e A se chama Kiki.",28.3950617283951,35,1
"5","uepg",NA,"doutorado","ciencias biologicas",2017,"ufpr","monitoria; projeto de extensao",2018,2020,"uepg",0,"nao",0,0,"nao","","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","pelos professores que ministram/ministraram disciplinas da transversal","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",170,54,1993-09-16,"trabalho com carteira assinada/vinculo formal","sozinho",1,"curitiba","b (carro)","carro/moto proprio",20,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram",56,"B se chama Bouba e A se chama Kiki.",18.6851211072664,27,1
"6","ufpr","ag - agrarias","mestrado academico","ciencias biologicas",2017,"outro","iniciacao cientifica; monitoria; projeto de extensao",NA,NA,"outro",2,"capes",1,0,"sim","r","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Presencial","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",163,58,1992-01-26,"bolsista em tempo integral","sozinho",3,"outro estado","nao","transporte publico",30,5,"gato","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",48,"B se chama Bouba e A se chama Kiki.",21.8299521999323,29,1
"7","uepg",NA,"mestrado profissional","ciencias biologicas",2018,"outro","monitoria",NA,NA,"outro",1,"capes",1,0,"sim","excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","outro","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",160,56,1996-02-09,"bolsista em tempo integral","com outros familiares",1,"interior","b (carro)","carro/moto proprio",5,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram",45,"A se chama Bouba e B se chama Kiki.",21.875,25,1
"8","ufpr","et - exatas","mestrado academico","ciencias exatas",2015,"utfpr","iniciacao cientifica; projeto de extensao",NA,NA,"outro",1,"nao",1,0,"sim","excel; matlab","certamente sim",8,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",174,70,1992-06-08,"trabalho com carteira assinada/vinculo formal","com os pais",2,"interior","a e b (moto e carro)","carro/moto proprio",45,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",54,"A se chama Bouba e B se chama Kiki.",23.1206235962479,28,1
"9","ufpr","tc - tecnologia","mestrado academico","ciencias exatas",2018,"outro","iniciacao cientifica",NA,2021,"outro",12,"capes",1,8,"sim","excel","nao sei ainda",4,"conseguir um emprego.","por ex-alunos da disciplina","nao","Presencial","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",171,110,1988-06-23,"bolsista em tempo integral","pensao, quarto alugado ou algo similar",1,"outro estado","a e b (moto e carro)","a pe",16,14,"nao possuo","nao toco nenhum instrumento","Facebook; Twitter; Instagram; Linkedin",58,"B se chama Bouba e A se chama Kiki.",37.6184125029924,32,1
"10","uepg",NA,"doutorado","ciencias exatas",2016,"unicentro","iniciacao cientifica; projeto de extensao",2017,2019,"unicentro",5,"nao",0,0,"sim","spss; excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",178,62,1991-10-18,"trabalho com carteira assinada/vinculo formal","sozinho",0,"interior","a e b (moto e carro)","carro/moto proprio",20,5,"nao possuo","nao toco nenhum instrumento","Facebook; Google+; Instagram",54,"B se chama Bouba e A se chama Kiki.",19.5682363337962,29,1
