"Carimbo de data/hora","Em qual instituição você está fazendo pós graduação?","Se você estuda na UFPR, em qual setor você está inserido?  ","Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?","Em qual grande área do conhecimento sua pesquisa está inserida hoje?","Em qual ano você concluiu sua graduação?","Em qual instituição você concluiu sua graduação? (Responda com a sigla da instituição)","De quais programas de graduação você participou?","Se você já concluiu o mestrado, qual o ano de início do mestrado?","Qual o ano de conclusão do seu mestrado?","Em qual instituição você fez seu mestrado?","Quantos artigos (com qualis) você já publicou?","Você é bolsista remunerado de algum programa? Qual?","Quantas disciplinas de Estatística você cursou na graduação?","Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ","Já utilizou algum software com funcionalidades estatísticas?","Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?","Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?","Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ","Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?","Como tomou conhecimento da Disciplina Transversal?","Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ","Tem/teve contato ou conhecimento sobre os professores coordenadores da disciplina (Paulo Justiniano e/ou Walmes Zeviani)?","Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?","Você cursou o ensino médio em escola pública ou particular?","Você cursou ensino médio tradicional ou profissionalizante?","Qual o seu sexo?","Qual a sua altura?","Qual o seu peso?","Qual a data do seu nascimento?","Qual das seguintes categorias descreve melhor sua situação de emprego?","Com quem você mora?","Quantos irmãos você tem?","Qual a sua origem?","Possui habilitação para dirigir? Qual categoria?","Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?","Em média, quanto tempo você demorava ou demoraria para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?","Possui animal de estimação?","Toca algum instrumento musical?","De quais redes sociais você participa?","Você pratica atividade física regularmente?","Quantas vezes por semana você se exercita?","Qual atividade você pratica?","Você teve ao menos um teste positivo para covid-19?","Você conhece alguém que já foi infectado pela covid-19?","Você faz parte do grupo de risco?","Dentre as pessoas que você convive, há ao menos uma pertencente ao grupo de risco?","Você foi vacinado contra a covid-19?","Quais das medidas a seguir você considera eficazes na prevenção à covid-19?","E quais das medidas você efetivamente segue para fins de prevenção?","Como a pandemia afetou sua renda?","Como a pandemia afetou seus estudos?","Como a pandemia afetou seu aprendizado?","Você aprova o formato remoto de ensino?","Você sente mais dificuldades no formato remoto quando comparado ao presencial?","Você acha que a pandemia vai afetar o tempo de conclusão da sua pós graduação?","Quantos anos você acha que a pessoa da foto abaixo tem?","Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
"11/03/2021 14:19:28","UFPR","AG - Agrárias","Mestrado Acadêmico","Ciências Biológicas",2008,"PUCPR ","Iniciação científica, Monitoria",,,,1,"Não",2,0,"Não",".","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",160,74,"10/10/1984","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",3,"Curitiba","B (carro)","Carro/moto próprio",15,2,"Cachorro","Outro","Facebook, Twitter, Instagram, Linkedin","Não",20,"Natação","Não","Não","Não","Não","Não","Uso de proteção ocular","Uso de proteção ocular","Extinguiu minha renda","Não afetou","Afetou moderadamente","Sim","Sim","Sim",57,"A da esquerda se chama Bouba, a da direita se chama Kiki.",40
"11/03/2021 14:19:29","UNILA",,"Mestrado Acadêmico","Ciências Biológicas",2002,"UNOESTE","Não participei",,,,0,"Não",1,3,"Sim","ACTION STAT","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",178,92,"04/10/1978","Funcionário público","Com o namorado(a)/noivo(a)/cônjuge",5,"Interior do Paraná","B (carro)","Carro/moto próprio",30,0,"Cachorro","Não toco nenhum instrumento","Facebook, Google+","Não",57,"Nenhuma","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Afetou muito","Estudei menos que o normal","Afetou moderadamente","Não","Sim","Sim",42,"A da esquerda se chama Kiki, a da direita se chama Bouba.",55
"11/03/2021 14:19:30","UEPG",,"Doutorado","Ciências Biológicas",2001,"UFPR","Monitoria",,2020,"UEPG",1,"CAPES",0,1,"Sim","Biostat","Certamente sim",10,"Ser professora universitária de graduação e pós-graduação","Pela PPGO da UEPG","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",162,53,"14/08/1979","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge",2,"Curitiba","B (carro)","Carro/moto próprio",70,2,"Cachorro","Outro","Facebook, Instagram, Outras","Não",57,"Caminhada","Não","Não","Não","Não","Não","Lavagem frequente das mãos","Lavagem frequente das mãos","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",49,"A da esquerda se chama Bouba, a da direita se chama Kiki.",40
"11/03/2021 14:19:31","UEPG","SD - Saúde","Mestrado Acadêmico","Ciências Biológicas",2008,"ufpr","Iniciação científica, Monitoria",,,,0,"Não",2,0,"Sim","epiinfo","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",187,100,"05/11/1981","autonomo","Com o namorado(a)/noivo(a)/cônjuge",2,"Curitiba","A e B (moto e carro)","Carro/moto próprio",20,0,"Gato, Outro","Violão, Guitarra, Bateria","Facebook, Instagram","Não",52,"Futebol","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Afetou moderadamente","Não afetou","Não afetou","Sim","Sim","Sim",40,"A da esquerda se chama Bouba, a da direita se chama Kiki.",48
"11/03/2021 14:19:32","UFPR","TC - Tecnologia","Mestrado Acadêmico","Ciências Exatas",2008,"UFPR","Empresa Júnior",,,,0,"Não",1,3,"Sim","Excel ou similares","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",171,74,"03/07/1983","Trabalho ocasional","Com o namorado(a)/noivo(a)/cônjuge",1,"Interior do Paraná","A e B (moto e carro)","Carro/moto próprio",20,0,"Não possuo","Violão, Guitarra, Teclado, Outro","Twitter, Instagram, Linkedin","Não",27,"Corrida","Não","Não","Não","Não","Não","Vacinação","Vacinação","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",40,"A da esquerda se chama Bouba, a da direita se chama Kiki.",45
"11/03/2021 14:19:33","UFPR","SA - Sociais Aplicadas","Mestrado Profissional","Ciências Humanas",1998,"UNIVERSIDADE CATÓLICA DE SANTOS ","Empresa Júnior",,,,0,"Não",2,0,"Sim","Excel ou similares","Certamente sim",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Por colegas","Não","Não","Sim","Totalmente em escola particular","Ensino médio tradicional","Masculino",172,91,"13/07/2020","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",3,"Outro Estado","A e B (moto e carro)","Carro/moto próprio",15,1,"Não possuo","Não toco nenhum instrumento","Nenhuma","Não",36,"Natação","Não","Não","Não","Não","Não","Uso de luvas","Uso de luvas","Afetou moderadamente","Não afetou","Não afetou","Sim","Não sei dizer","Não sei dizer",40,"A da esquerda se chama Kiki, a da direita se chama Bouba.",56
"11/03/2021 14:19:34","Não sou aluno de pós graduação","TC - Tecnologia","Mestrado Acadêmico","Ciências Exatas",2018,"UNIJUI","Iniciação científica",,2021,,12,"CAPES",1,8,"Sim","Excel ou similares","Não sei ainda",4,"Conseguir um emprego.","Por ex-alunos da Disciplina","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",171,110,"23/06/1988","Bolsista em tempo integral","Pensão, quarto alugado ou algo similar",1,"Outro Estado","A e B (moto e carro)","A pé",16,14,"Não possuo","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Não",8,"Musculação","Não","Não","Não","Não","Não","Tratamento precoce (de qualquer espécie)","Tratamento precoce (de qualquer espécie)","Não afetou","Estudei mais que o normal","Afetou pouco","Não sei dizer","Não","Não",58,"A da esquerda se chama Bouba, a da direita se chama Kiki.",48
"11/03/2021 14:19:35","UFPR","TC - Tecnologia","Mestrado Acadêmico","Ciências Exatas",2019,"UFPR","Iniciação científica",,,,0,"Não",1,0,"Sim","Excel ou similares","Não sei ainda",5,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Por colegas","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Prefiro não responder",157,58,"04/03/1996","Trabalho ocasional","Com o namorado(a)/noivo(a)/cônjuge",1,"Curitiba","B (carro)","Carro/moto próprio",20,15,"Cachorro","Violão","Facebook, Instagram","Não",5,"Nenhuma","Não","Não","Não","Não","Não","Nenhuma","Uso de proteção ocular","Não afetou","Não afetou","Afetou pouco","Sim","Não sei dizer","Não sei dizer",40,"A da esquerda se chama Kiki, a da direita se chama Bouba.",45
"11/03/2021 14:19:36","UNICENTRO",,"Doutorado","Ciências Exatas",2013,"UNICENTRO","Iniciação científica",2018,2020,"UNICENTRO",0,"Não",0,5,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",169,80,"20/09/1989","Professor concursado QPM da SEED","Com o namorado(a)/noivo(a)/cônjuge",2,"Interior do Paraná","B (carro)","Carro/moto próprio",90,0,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram","Não",8,"Natação","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Afetou moderadamente","Não afetou","Afetou moderadamente","Sim","Sim","Sim",54,"A da esquerda se chama Bouba, a da direita se chama Kiki.",54
"11/03/2021 14:19:37","UNICENTRO",,"Doutorado","Ciências Exatas",2013,"UNICENTRO","Iniciação científica",2018,2020,"UNICENTRO",0,"Não",0,5,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",169,80,"20/09/1989","PROFESSOR CONCURSADO QPM VINCULADO A SEED","Com o namorado(a)/noivo(a)/cônjuge",2,"Interior do Paraná","B (carro)","Carro/moto próprio",90,0,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram","Não",11,"Natação","Não","Não","Não","Não","Não","Tratamento precoce (de qualquer espécie)","Tratamento precoce (de qualquer espécie)","Não afetou","Não afetou","Afetou pouco","Sim","Sim","Sim",54,"A da esquerda se chama Bouba, a da direita se chama Kiki.",58
